Name,website,QD roles,
Brevan Howard ,www.brevanhoward.com,n/a,
Man Investments ,www.mangroupplc.com,https://mangroupplc.wd3.myworkdayjobs.com/en-US/Man_Group_Careers/job/London/Quantitative-Analyst_JR001682-1,
BlackRock ,www.blackrock.co.uk,n/a,
BlueCrest Capital Management ,www.bluecrestcapital.com,,
Lansdowne Partners ,www.lansdownepartners.com,n/a,
Winton Capital Management ,www.wintoncapital.com,None,
GAM ,www.gam.com,Trainee programme,
Transtrend ,www.transtrend.com,Dutch only,
Sloane Robinson ,www.sloanerobinson.com,n/a,
Gartmore Investment Management ,www.gartmore.com,,
Citadel ,www.citadelgroup.com,https://www.citadel.com/careers/details/quantitative-developer/,https://www.citadel.com/careers/details/quantitative-research-analyst-global-quantitative-strategies/
Och-Ziff ,www.ozcap.com,,
Spinnaker Capital ,www.spinnakercapital.com,,
COMAC Capital ,www.comaccapital.com,n/a,
Jabre Capital Partners ,www.jabcap.com,n/a,
Capula Global ,www.capulaglobal.com,https://careers.capulaglobal.com/graduates/,https://fsr.cvmailuk.com/capula/main.cfm?page=jobSpecific&jobId=51662&rcd=2115900&queryString=srxksl%3D1
Cheyne Capital ,www.cheynecapital.com,Email : HR@cheynecapital.bm,https://www.cheynecapital.com/contact/cheyne-offices/
Marshall Wace ,www.mwam.com,https://www.mwam.com/vacancies/5,
CQS Management ,www.cqs.ch,Speculative ,https://www.cqs.com/careers
Aspect Capital ,www.aspectcapital.com,https://www.aspectcapital.com/careers/,
Cevian Capital ,www.ceviancapital.com,n/a,
Arrowgrass ,www.arrowgrass.com,Grad enquiries ,graduaterecruitment@arrowgrass.com
Prosperity Capital Management ,www.prosperitycapital.com,n/a,
Pharo Management ,www.pharomanagement.com,,
Henderson Global Investors ,www.henderson.com,https://career8.successfactors.com/career?company=Janus,
James Caird Asset Management,,,
BlueBay Asset Management ,www.bluebayinvest.com,None,
Millennium Global Investments ,www.millenniumglobal.com,None,
Thames River Capital ,www.thamesriver.co.uk,None,
TT International ,www.ttint.com,None,
IKOS ,www.ikosam.com,https://www.ikosam.com/Careers,
Odey Asset Management ,www.odey.co.uk,,
Toscafund ,www.toscafund.com,n/a,
Ecofin ,www.ecofin.co.uk,,
Armajaro ,www.armajaro.com,None,
Tyrus Capital ,www.tyruscap.com,,
GLC ,www.glcuk.com,,
Boussard & Gavaudan ,www.bgholdingltd.com,n/a,
Altis Partners ,www.altispartners.com,n/a,
Caxton Europe LLP,https://www.caxton.com/,n/a,
AQR Capital Management (Europe) LLP,https://www.aqr.com/About-Us/Careers,None,
Och-Ziff Management Europe,https://www.sculptor.com/careers,https://www.sculptor.com/careers,
Balyasny Europe Asset Management,https://www.bamfunds.com/,https://bamfunds.wd1.myworkdayjobs.com/External,
Eisler Capital Management,https://eislercapital.com/,n/a,
Millennium Capital Partners,https://www.mlp.com/,https://www.mlp.com/careers/investment-professionals/,
Blue Mountain Capital Partners London,https://www.assuredinvestmentmanagement.com/,None,
Two Sigma International Ltd.,https://www.twosigma.com/,https://careers.twosigma.com/,
Point72 Europe LLP,https://www.point72.com/,https://careers.point72.com/CSCareerSearch?_ga=2.7646267.868359737.1604507173-109463111.1604507173,
Tudor Capital Europe LLP,https://www.tudor.com/default.aspx#section-Careers,,
Investec Asset Management,,,
GSA Capital,,,
Chenavari Financial Group,,,
Finisterre Capital,,,
Ashmore Investment Management,,,
Stone Milliner Asset Management,,,
Barings,,,
Highclere International Investors,,,
Cantab Capital Partners,,,
ECM,,,
Oceanwood Capital Management,,,
Algebris Investments,,,
Investcorp,,,
CapeView Capital LLP,,,
Edgbaston Investment Partners,,,
Beach Horizon,,,
Altima Partners,,,
Aurum Fund Management,,,
Consulta Limited,,,
York Capital Management,,,
Polygon Investment Partners,,,
Egerton Capital,,,
Alcentra,,,
Lindsell Train Limited,,,
Polar Capital Partners,,,
AKO Capital,,,
Oxford Asset Management,,,
RWC Partners,,,
HSBC Alternative Investments,,,
Aviva Investors,,,
Systematica Investments,,,
Pamplona Capital Management,,,
The Children's Investment Fund,,,
Bridgewater Associates,,,
Renaissance Technologies,,,
Elliott Management,,,
BlackRock,,,
The Children's Investment Fund Management,,,
D.E. Shaw & Co.,,,
Davidson Kempner Capital Management,,,
Farallon Capital,,,
Baupost Group,,,
Canyon Capital Advisors,,,
Wellington Management Company,,,
Viking Global Investors,,,
PIMCO,,,
