alcohol,index,correction,url
chateau lafleur grangeneuve pomerol mc,https://www.wine-searcher.com/find/lafleur+pomerol+bordeaux+france,https://www.wine-searcher.com/find/lafleur+grange+neuve+pomerol+bordeaux+france,https://www.sylvies.be/en/auction/164/lot/120537?sid=6533425&rn=1091
egon muller scharzhof riesling mosel germany,https://www.wine-searcher.com/find/egon+muller+scharzhofberger+riesling+tba+wiltingen+saar+mosel+germany,https://www.wine-searcher.com/find/egon+muller+scharzhof+riesling+mosel+germany,https://auction.catawiki.com/kavels/27395621-2005-egon-m-ller-scharzhof-riesling-mosel-5-bottles-0-75l
richebourg grand cru raoul henri,https://www.wine-searcher.com/find/henri+jayer+grand+cru+richebourg+vosne+romanee+cote+de+nuit+burgundy+france,https://www.wine-searcher.com/find/raul+henri+grand+cru+richebourg+vosne+romanee+cote+de+nuit+burgundy+france,https://www.sylvies.be/en/auction/164/lot/120178?sid=6533260&rn=732
chateau marinier,https://www.wine-searcher.com/find/margaux+medoc+bordeaux+france,None,https://www.the-saleroom.com/en-gb/auction-catalogues/amersham-auction-rooms/catalogue-id-sram10029/lot-1910a502-3b72-4364-9428-a4cf00dd9718
romanee saint vivant grand cru domaine michel voarick bourgogne grand cru red wine france,https://www.wine-searcher.com/find/dom+leroy+grand+cru+romanee+st+vivant+vosne+cote+de+nuit+burgundy+france,https://www.wine-searcher.com/find/dom+michel+voarick+grand+cru+romanee+st+vivant+vosne+cote+de+nuit+burgundy+france,https://www.catawiki.com/l/30867275-1990-romanee-saint-vivant-grand-cru-domaine-michel-voarick-bourgogne-grand-cru-6-bottles-0-75l
chateau rambaud margaux,https://www.wine-searcher.com/find/margaux+medoc+bordeaux+france,None,https://auction.catawiki.com/kavels/17248475-1982-chateau-rambaud-margaux-x-1-magnum
pavillon rouge du chateau margaux nd wine ch margaux pauillac red wine france,https://www.wine-searcher.com/find/margaux+medoc+bordeaux+france,https://www.wine-searcher.com/find/pavillon+rouge+du+margaux+medoc+bordeaux+france,
pavillon blanc du chateau margaux nd wine ch margaux margaux white wine france,https://www.wine-searcher.com/find/margaux+medoc+bordeaux+france,https://www.wine-searcher.com/find/pavillon+blanc+du+margaux+bordeaux+france,
pavillon blanc de chateau margaux margaux,https://www.wine-searcher.com/find/margaux+medoc+bordeaux+france,https://www.wine-searcher.com/find/pavillon+blanc+du+margaux+bordeaux+france,
pavillon rouge du ch margaux,https://www.wine-searcher.com/find/margaux+medoc+bordeaux+france,https://www.wine-searcher.com/find/pavillon+rouge+du+margaux+medoc+bordeaux+france,
pavillon blanc margaux mc,https://www.wine-searcher.com/find/margaux+medoc+bordeaux+france,https://www.wine-searcher.com/find/pavillon+blanc+du+margaux+bordeaux+france,
chateau du margaux pavillion rouge grand cru margaux,https://www.wine-searcher.com/find/margaux+medoc+bordeaux+france,https://www.wine-searcher.com/find/pavillon+rouge+du+margaux+medoc+bordeaux+france,
pavillon rouge du chateau margaux france margaux red,https://www.wine-searcher.com/find/margaux+medoc+bordeaux+france,https://www.wine-searcher.com/find/pavillon+rouge+du+margaux+medoc+bordeaux+france,
pavillon rouge du chateau margaux nd wine of chateau margaux,https://www.wine-searcher.com/find/margaux+medoc+bordeaux+france,https://www.wine-searcher.com/find/pavillon+rouge+du+margaux+medoc+bordeaux+france,
pavillon rouge du ch margaux vintage,https://www.wine-searcher.com/find/margaux+medoc+bordeaux+france,https://www.wine-searcher.com/find/pavillon+rouge+du+margaux+medoc+bordeaux+france,
pavillon blanc du chateau margaux bordeaux white wine bordeaux france,https://www.wine-searcher.com/find/margaux+medoc+bordeaux+france,https://www.wine-searcher.com/find/pavillon+blanc+du+margaux+bordeaux+france,
